Bee.ID,Location,Site,Pair,Elevation,HB.abundance,BB.abundance,Vegetation,Type,Date,Period ,Weight(mg),Wing.R,Wing.L,Wing.mean,Floral.Resource,Pollen.load,Notes
B027,SEKI,Site 09,D - Meadow,~ 7500 ft,3,50,Meadow,Burned,7/13/2023,Morning,,0.23,0.23,0.23,Bluebells,Yes,
B030,SEKI,Site 09,D - Meadow,~ 7500 ft,3,50,Meadow,Burned,7/13/2023,Morning,,0.23,0.23,0.23,Bluebells,Yes,
B024,SEKI,Site 09,D - Meadow,~ 7500 ft,3,50,Meadow,Burned,7/13/2023,Morning,,0.24,0.24,0.24,Bluebells,Yes,Two loads 
B022,SEKI,Site 09,D - Meadow,~ 7500 ft,3,50,Meadow,Burned,7/13/2023,Morning,,0.25,0.25,0.25,Bluebells,Yes,Two loads 
B023,SEKI,Site 09,D - Meadow,~ 7500 ft,3,50,Meadow,Burned,7/13/2023,Morning,,0.25,0.25,0.25,Bluebells,Yes,Two smallish loads 
B029,SEKI,Site 09,D - Meadow,~ 7500 ft,3,50,Meadow,Burned,7/13/2023,Morning,,0.26,0.26,0.26,Bluebells,Yes,
B020,SEKI,Site 09,D - Meadow,~ 7500 ft,3,50,Meadow,Burned,7/13/2023,Morning,,0.28,0.28,0.28,Bluebells,Yes,Poss gyne
B006,SEKI,Site 02,C - Forest,~ 7000 ft,2,100,Meadow,Unburned,7/11/2023,Afternoon ,,0.33,0.33,0.33,Bluebells,No,
B018,SEKI,Site 09,D - Meadow,~ 7500 ft,3,50,Meadow,Burned,7/12/2023,Afternoon ,,0.3,0.3,0.3,Lupine,Yes,Two loads 
B010,SEKI,Site 02,C - Forest,~ 7000 ft,2,100,Meadow,Unburned,7/12/2023,Morning,,0.35,0.35,0.35,Bluebells,No,
B059,SEKI,Site 17,B - Forest,~ 6500 ft,1,25,Forest,Unburned,7/16/2023,Morning,168,0.36,0.36,0.36,Bluebells,No,
B021,SEKI,Site 09,D - Meadow,~ 7500 ft,3,50,Meadow,Burned,7/13/2023,Morning,,0.3,0.3,0.3,Bluebells,Yes,Two loads 
B007,SEKI,Site 02,C - Forest,~ 7000 ft,2,100,Meadow,Unburned,7/12/2023,Morning,,0.38,0.38,0.38,Bluebells,Yes,
B028,SEKI,Site 09,D - Meadow,~ 7500 ft,3,50,Meadow,Burned,7/13/2023,Morning,,0.33,0.33,0.33,Bluebells,Yes,
